"provincia","id","localidad","partido","municipio","cp","latitud","longitud","id_prov_mstr"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1037","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1038","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1039","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1040","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1041","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1042","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1043","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1044","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1045","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1046","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1047","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1048","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1049","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1050","","","02"
"Ciudad Autonoma de Buenos Aires","5001","Capital Federal","CAPITAL FEDERAL","CIUDAD AUTONOMA DE BUENOS AIRES","1051","","","02"
